rowid,mpl_hostname,mpl_letter,mpl_def,mpl_reflink,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mst_teff,mst_mass,mst_rad,rowupdate,mpl_name,mpl_masse,mpl_rade,mpl_disc,mpl_status,st_dist
1,11 Com,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...672..553L target=ref> Liu et al. 2008 </a>,Radial Velocity,1,326.03,1.29,4742,2.7,19,5/14/14,11 Com b,,,2007,3,110.62
2,11 UMi,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...505.1311D target=ref> Dollinger et al. 2009 </a>,Radial Velocity,1,516.22,1.54,4340,1.8,24.08,5/14/14,11 UMi b,,,2009,3,119.47
3,14 And,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60.1317S target=ref> Sato et al. 2008 </a>,Radial Velocity,1,185.84,0.83,4813,2.2,11,5/14/14,14 And b,,,2008,3,76.39
4,14 Her,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...654..625W target=ref> Wittenmyer et al. 2007 </a>,Radial Velocity,1,1773.4,2.77,,,,5/14/14,14 Her b,,,2002,3,18.15
5,16 Cyg B,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,Radial Velocity,1,798.5,1.681,5674,0.99,,9/10/15,16 Cyg B b,,,1996,3,21.41
6,18 Del,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60..539S target=ref> Sato et al. 2008 </a>,Radial Velocity,1,993.3,2.6,4979,2.3,8.5,5/14/14,18 Del b,,,2008,3,73.1
7,1RXS J160929.1-210524,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...802...61L target=ref>Lachapelle et al. 2015</a>,Imaging,1,,330,4060,0.85,,4/1/15,1RXS J160929.1-210524 b,3000,,2008,3,145
8,24 Sex,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,Radial Velocity,2,452.8,1.333,5098,1.54,4.9,5/14/14,24 Sex b,,,2010,3,74.79
9,24 Sex,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,Radial Velocity,2,883,2.08,5098,1.54,4.9,5/14/14,24 Sex c,,,2010,3,74.79
10,2MASS J01225093-2439505,b,1,<a href=http://adsabs.harvard.edu/abs/2013ApJ...774...55B target=ref> Bowler et al. 2013 </a>,Imaging,1,,52,3530,0.4,,5/14/14,2MASS J01225093-2439505 b,7786.5,,2013,3,36
